Sequence	Contig	Position	SexBias	P	Signif
10881497	CP020636.1	18238265	0	1	False
10881697	CP020622.1	14994001	0.0709677	0.68308	False
10881813	CP020642.1	26437895	0	1	False
10881952	CP020628.1	21789089	0	1	False
10881995	CP020625.1	9356107	0	1	False
10882034	CP020629.1	29097012	0.110753	0.527127	False
10882179	CP020625.1	21306563	-0.0913978	0.572829	False
10882216	CP020623.1	26101626	0.0193548	1	False
10882251	CP020625.1	21306563	0.0774193	0.713453	False
10882308	CP020641.1	29888134	0	1	False
10882342	CP020637.1	7858279	-0.129032	0.126884	False
10882475	CP020640.1	19502857	0	1	False
10882501	CP020644.1	10904267	0.147312	0.368866	False
10882533	CP020622.1	6082714	-0.209677	0.156167	False
10882586	CP020623.1	14246957	0.0666667	0.450577	False
10882589	CP020623.1	10844152	0	1	False
10882749	CP020624.1	21609040	0	1	False
10882810	CP020633.1	8303618	0.133333	0.110857	False
10883011	CP020644.1	12887934	0.117204	0.50241	False
10883130	CP020641.1	5950591	-0.0946237	0.444854	False
10883212	CP020627.1	30878185	0	1	False
10883337	CP020638.1	12902482	0.0817204	0.699265	False
10883365	CP020637.1	1152819	0.0344086	0.969025	False
10883374	CP020643.1	22275380	0.176344	0.245707	False
10883463	CP020633.1	16364379	0.0677419	0.575671	False
10883481	CP020623.1	15544933	-0.0301076	1	False
10883612	CP020624.1	2762057	-0.270968	0.034099	False
10883779	CP020627.1	1987560	-0.0913978	0.572829	False
10883833	CP020629.1	28726742	0.0333334	0.973624	False
10883915	CP020633.1	30630548	-0.0935484	0.499803	False
10884018	CP020622.1	21041581	0.370968	0.00429243	False
10884068	CP020625.1	23452928	0.249462	0.0825507	False
10884149	CP020640.1	2052601	0	1	False
10884166	CP020624.1	11239445	0.055914	0.839507	False
10884256	CP020632.1	53066	0.211828	0.159418	False
10884408	CP020633.1	10726702	0	1	False
10884409	CP020637.1	6173352	0	1	False
10884419	CP020626.1	21802056	0.139785	0.339851	False
10884426	CP020623.1	19975395	-0.0526882	0.870287	False
10884538	CP020626.1	9823279	-0.34086	0.0136402	False
10884545	CP020625.1	33567288	0	1	False
10884813	CP020621.1	9973427	-0.0645161	0.47938	False
10885019	CP020622.1	23405047	0	1	False
10885152	CP020634.1	11347356	-0.027957	1	False
10885193	CP020622.1	1539041	0.475269	0.000540126	False
10885233	CP020623.1	29174285	-0.0580645	0.810625	False
10885330	CP020641.1	7105803	0	1	False
10885355	CP020632.1	354957	-0.116129	0.511067	False
10885422	CP020631.1	21909992	0	1	False
10885497	CP020633.1	8228702	0	1	False
10885527	CP020643.1	19422345	0	1	False
10885559	CP020626.1	12032405	0	1	False
10885615	CP020624.1	6900521	-0.0408602	0.937829	False
10885648	CP020624.1	4339671	0.00752687	1	False
10885691	CP020631.1	25320163	0	1	False
10885706	CP020623.1	26445297	-0.341936	0.0144815	False
10885759	CP020642.1	1197211	0	1	False
10885885	CP020641.1	31339525	0	1	False
10885906	CP020636.1	1076976	0	1	False
10886008	CP020638.1	11732426	0	1	False
10886067	CP020624.1	2240512	-0.237634	0.0625713	False
10886073	CP020624.1	5793071	0.0172043	1	False
10886101	CP020637.1	5675476	0.0870968	0.652231	False
10886168	CP020625.1	34346830	-0.0322581	1	False
10886238	CP020643.1	11000246	0.1	0.221263	False
10886297	CP020623.1	24783776	0	1	False
10886308	CP020644.1	3641191	0	1	False
10886374	CP020621.1	37586745	0	1	False
10886417	CP020629.1	26111628	-0.308602	0.0282359	False
10886475	CP020628.1	1241763	0.0333334	0.973624	False
10886549	CP020629.1	24673232	0.0784946	0.71171	False
10886820	CP020624.1	26233663	-0.0301076	1	False
10886838	CP020631.1	596842	0	1	False
10886861	CP020638.1	7121093	0.0376344	0.952798	False
10887038	CP020639.1	17117161	0.149462	0.356863	False
10887065	CP020643.1	1954056	0.104301	0.464368	False
10887159	CP020635.1	28671449	0	1	False
10887219	CP020624.1	25684086	-0.0817205	0.699265	False
10887220	CP020642.1	5462840	0.272043	0.0400868	False
10887331	CP020624.1	31616553	-0.0731183	0.704393	False
10887338	CP020642.1	3357789	0	1	False
10887411	CP020640.1	14822939	0	1	False
10887412	CP020639.1	9874361	0	1	False
10887453	CP020627.1	32315081	0.0688172	0.631695	False
10887470	CP020632.1	921955	0	1	False
10887492	CP020634.1	18289983	0.188172	0.166369	False
10887525	CP020638.1	9627614	-0.0569893	0.826241	False
10887542	CP020627.1	31004504	0	1	False
10887629	CP020634.1	4608263	0	1	False
10887754	CP020626.1	26536259	-0.0247312	1	False
10887764	CP020625.1	32729617	-0.174194	0.231412	False
10887780	CP020622.1	23347374	0	1	False
10887869	CP020632.1	18751496	0	1	False
10887881	CP020622.1	21031980	-0.0827957	0.692742	False
10888005	CP020624.1	24722293	0	1	False
10888017	CP020635.1	6472135	0	1	False
10888070	CP020624.1	25813163	0	1	False
10888108	CP020626.1	28157881	-0.154839	0.285735	False
10888119	CP020624.1	25007255	-0.0537634	0.861184	False
10888148	CP020641.1	73547	-0.146237	0.371811	False
10888282	CP020640.1	4443676	-0.215054	0.150723	False
10888328	CP020624.1	15962441	0.1	0.221263	False
10888391	CP020634.1	25121029	0.101075	0.327311	False
10888505	CP020639.1	709535	0.00430107	1	False
10888603	CP020630.1	8918282	0	1	False
10888656	CP020623.1	22783954	0	1	False
10888779	CP020625.1	26446808	0.0333334	0.973624	False
10888803	CP020624.1	1138809	0	1	False
10888813	CP020637.1	5473086	0.0666667	0.450577	False
10888835	CP020641.1	7633395	0	1	False
10888870	CP020641.1	10473966	0	1	False
10888885	CP020639.1	18548947	0.0784946	0.71171	False
10889004	CP020627.1	24605358	0.208602	0.151596	False
10889154	CP020639.1	2965912	-0.0172043	1	False
10889189	CP020638.1	7632358	0	1	False
10889310	CP020623.1	4843993	0	1	False
10889331	CP020634.1	2448659	0.223656	0.0519139	False
10889358	CP020634.1	28953867	-0.0924731	0.540837	False
10889446	CP020642.1	18395365	0.137634	0.300646	False
10889460	CP020621.1	29054236	-0.0107527	1	False
10889507	CP020639.1	20329043	0.149462	0.356863	False
10889547	CP020641.1	29388332	0	1	False
10889627	CP020641.1	11443994	0	1	False
10889658	CP020632.1	26452493	0.0795699	0.708735	False
10889702	CP020636.1	2015577	0	1	False
10889762	CP020621.1	35468801	0	1	False
10889771	CP020625.1	27200805	0.148387	0.363892	False
10889835	CP020640.1	18242603	0.15914	0.162427	False
10889886	CP020642.1	12131869	0	1	False
10889923	CP020627.1	14111917	-0.168817	0.132709	False
10890032	CP020624.1	33257965	-0.0322581	1	False
10890082	CP020632.1	911926	0	1	False
10890133	CP020636.1	30126807	0.0688172	0.631695	False
10890138	CP020633.1	3180324	0.0666667	0.450577	False
10890206	CP020631.1	1938843	0.0107527	1	False
10890261	CP020632.1	13777103	0	1	False
10890324	CP020633.1	5131387	0.182796	0.234602	False
10890351	CP020637.1	10805028	0.0462366	0.911632	False
10890354	CP020621.1	38047967	-0.0311828	1	False
10890380	CP020642.1	12357970	-0.0322581	1	False
10890513	CP020632.1	16130145	0	1	False
10890622	CP020630.1	11899018	0	1	False
10890639	CP020632.1	5739192	-0.00967744	1	False
10890673	CP020641.1	8891869	-0.283871	0.0386628	False
10890694	CP020642.1	13571279	0	1	False
10890737	CP020636.1	18307845	0.1	0.221263	False
10890768	CP020644.1	21450673	-0.139785	0.339851	False
10890772	CP020621.1	13399636	-0.239785	0.0801592	False
10890792	CP020642.1	6146606	0	1	False
10890801	CP020624.1	6284188	0.00645161	1	False
10890806	CP020632.1	4640897	0.141935	0.361634	False
10890886	CP020626.1	32267969	0	1	False
10890986	CP020623.1	11813957	0	1	False
10891194	CP020626.1	32562384	0.101075	0.327311	False
10891294	CP020623.1	32740132	0	1	False
10891345	CP020622.1	6624104	0.0333334	0.973624	False
10891450	CP020630.1	28347065	-0.0451613	0.917204	False
10891471	CP020624.1	2413547	0.0365591	0.957978	False
10891769	CP020634.1	20697903	0	1	False
10891882	CP020638.1	759805	0.0677419	0.575671	False
10891927	CP020626.1	32087620	0.192473	0.063851	False
10892066	CP020623.1	35798563	0	1	False
10892097	CP020621.1	259091	0.0333334	0.973624	False
10892106	CP020621.1	28042158	-0.403226	0.00149353	False
10892196	CP020632.1	729144	0.0763441	0.713849	False
10892230	CP020634.1	12211151	-0.016129	1	False
10892232	CP020627.1	26516821	0	1	False
10892412	CP020626.1	980511	0	1	False
10892487	CP020626.1	29511958	0	1	False
10892634	CP020625.1	20559362	0.107527	0.512148	False
10892724	CP020644.1	16685975	-0.0322581	1	False
10892773	CP020622.1	14251934	0	1	False
10892812	CP020621.1	26659401	0	1	False
10892856	CP020644.1	5357899	-0.408602	0.00318939	False
10892987	CP020622.1	7246779	0.0354839	0.963377	False
10893006	CP020629.1	6815702	0	1	False
10893203	CP020633.1	12672456	0	1	False
10893206	CP020629.1	17849066	0	1	False
10893351	CP020631.1	2686583	0.112903	0.526105	False
10893432	CP020642.1	23990724	-0.15914	0.162427	False
10893491	CP020627.1	3316673	0.192473	0.063851	False
10893525	CP020625.1	2544445	-0.0182796	1	False
10893772	CP020624.1	18580611	0	1	False
10893783	CP020634.1	5634218	0.287097	0.0208483	False
10893817	CP020621.1	6221732	-0.115054	0.517855	False
10893829	CP020628.1	3518094	0.0451612	0.917204	False
10893878	CP020630.1	32408003	0.115054	0.517855	False
10893943	CP020623.1	27892222	-0.0870968	0.652231	False
10893945	CP020638.1	11538976	0.117204	0.50241	False
10894125	CP020638.1	1985834	0.0677419	0.575671	False
10894149	CP020631.1	10080284	0.0731183	0.704393	False
10894192	CP020640.1	8207258	0	1	False
10894233	CP020636.1	30595239	-0.275269	0.0520959	False
10894235	CP020643.1	13219070	0	1	False
10894389	CP020643.1	22280970	0	1	False
10894403	CP020640.1	16793699	0	1	False
10894435	CP020641.1	32059696	-0.150538	0.347698	False
10894558	CP020632.1	10179885	0	1	False
10894567	CP020637.1	12721241	-0.0258065	1	False
10894651	CP020636.1	32806351	-0.0107527	1	False
10894672	CP020642.1	21450186	0.0333334	0.973624	False
10894755	CP020634.1	25336881	0	1	False
10894841	CP020640.1	9071714	0	1	False
10894956	CP020638.1	14135239	0	1	False
10895014	CP020642.1	21814822	0	1	False
10895022	CP020635.1	12111598	-0.127957	0.20957	False
10895051	CP020624.1	7551568	0.101075	0.327311	False
10895072	CP020627.1	30485829	0	1	False
10895103	CP020626.1	27245453	0	1	False
10895112	CP020637.1	32466063	0	1	False
10895243	CP020634.1	4073186	0.207527	0.14489	False
10895393	CP020631.1	8771333	0	1	False
10895433	CP020621.1	23596524	-0.0322581	1	False
10895591	CP020628.1	2977806	0.11828	0.491734	False
10895596	CP020625.1	24817104	-0.203226	0.0930909	False
10895624	CP020636.1	13456302	0	1	False
10895631	CP020634.1	7722765	0.106452	0.501112	False
10895634	CP020642.1	2924924	0	1	False
10895658	CP020630.1	28017681	0.0258064	1	False
10895698	CP020642.1	6071276	-0.221505	0.0861662	False
10895753	CP020644.1	9811807	0.0344086	0.969025	False
10895763	CP020630.1	30861444	0	1	False
10895812	CP020640.1	26820918	0	1	False
10895825	CP020623.1	4685686	0	1	False
10895863	CP020627.1	20440709	0	1	False
10895928	CP020633.1	20929577	0.0924731	0.540837	False
10895935	CP020634.1	2759431	0	1	False
10895974	CP020632.1	30539536	0	1	False
10896043	CP020631.1	20562790	0.0376344	0.952798	False
10896211	CP020632.1	3330916	0.0333334	0.973624	False
10896230	CP020630.1	7139769	0.0354839	0.963377	False
10896236	CP020633.1	10309332	0	1	False
10896250	CP020632.1	2722916	-0.0150538	1	False
10896251	CP020628.1	21036379	0	1	False
10896256	CP020630.1	7139868	-0.245161	0.0959889	False
10896291	CP020630.1	9479823	-0.0247312	1	False
10896431	CP020621.1	5840409	0.00430107	1	False
10896484	CP020630.1	1476603	0	1	False
10896499	CP020639.1	3171545	0.0333334	0.973624	False
10896513	CP020630.1	19190192	0.0408602	0.937829	False
10896530	CP020630.1	33063083	0	1	False
10896537	CP020628.1	26059771	0.0763441	0.713849	False
10896541	CP020636.1	33699156	0	1	False
10896732	CP020636.1	10357485	0	1	False
10896741	CP020640.1	5289576	-0.0258065	1	False
10896806	CP020639.1	12426077	-0.236559	0.0514172	False
10896820	CP020634.1	4844525	0	1	False
10896862	CP020638.1	23174627	-0.224731	0.0340812	False
10896941	CP020631.1	6053623	0.0333334	0.973624	False
10897006	CP020622.1	22399930	-0.0290322	1	False
10897057	CP020637.1	9708009	0	1	False
10897127	CP020637.1	13660773	-0.0322581	1	False
10897164	CP020635.1	12743666	-0.0913978	0.572829	False
10897192	CP020625.1	4066891	0	1	False
10897205	CP020640.1	24405526	0.0376344	0.952798	False
10897255	CP020633.1	3849025	0	1	False
10897307	CP020637.1	14533444	0	1	False
10897308	CP020628.1	18993816	0	1	False
10897351	CP020624.1	7264310	-0.0870968	0.652231	False
10897372	CP020630.1	19275105	0	1	False
10897409	CP020622.1	23260456	-0.0924731	0.540837	False
10897462	CP020625.1	23823256	-0.0129032	1	False
10897478	CP020638.1	11697793	0.117204	0.50241	False
10897517	CP020635.1	12317245	-0.0322581	1	False
10897655	CP020642.1	2673720	0.115054	0.517855	False
10897699	CP020642.1	18698951	-0.169892	0.162166	False
10897709	CP020626.1	16456051	-0.13871	0.322942	False
10897710	CP020624.1	31615536	0	1	False
10897746	CP020640.1	23184613	0.00537634	1	False
10897786	CP020621.1	36324373	0.00107527	1	False
10897943	CP020640.1	10053241	-0.0645161	0.47938	False
10898160	CP020628.1	23653542	0	1	False
10898418	CP020644.1	13981009	-0.0623656	0.693026	False
10898452	CP020621.1	917652	0	1	False
10898579	CP020622.1	22394282	-0.0290322	1	False
10898609	CP020633.1	15228157	0	1	False
10898647	CP020631.1	8374536	-0.225806	0.0177352	False
10898715	CP020630.1	8688038	-0.305376	0.0212902	False
10898757	CP020626.1	15727332	0.0666667	0.450577	False
10898773	CP020630.1	3537665	0	1	False
10898839	CP020621.1	29643953	0	1	False
10898874	CP020644.1	789250	-0.0193549	1	False
10898933	CP020628.1	24529908	0.180645	0.246481	False
10898982	CP020626.1	5257926	0.088172	0.637327	False
10899006	CP020621.1	3007121	0.191398	0.0932656	False
10899015	CP020629.1	1150772	-0.055914	0.839507	False
10899025	CP020626.1	31213303	-0.0268817	1	False
10899045	CP020638.1	6927812	0.00537634	1	False
10899074	CP020644.1	18429325	0	1	False
10899086	CP020636.1	32892451	0.306452	0.0242386	False
10899226	CP020643.1	5944896	0.00967741	1	False
10899277	CP020638.1	17670211	-0.0645161	0.47938	False
10899280	CP020630.1	6968719	0.208602	0.151596	False
10899314	CP020642.1	12878555	0	1	False
10899377	CP020625.1	16916981	0	1	False
10899411	CP020623.1	811824	0	1	False
10899454	CP020623.1	12283298	-0.283871	0.0386628	False
10899460	CP020632.1	2255113	-0.205376	0.124372	False
10899500	CP020640.1	24306225	0	1	False
10899539	CP020641.1	31666102	-0.0526882	0.870287	False
10899541	CP020640.1	13397793	0	1	False
10899612	CP020630.1	23314338	0	1	False
10899652	CP020621.1	38066608	0.00107527	1	False
10899696	CP020628.1	5018649	0	1	False
10899769	CP020633.1	4909534	0	1	False
10899833	CP020630.1	13326026	0.145161	0.372693	False
10899887	CP020634.1	4929939	0.0333334	0.973624	False
10900129	CP020636.1	8355279	0	1	False
10900224	CP020642.1	10956003	0.168817	0.132709	False
10900244	CP020626.1	6523728	0.0387096	0.947758	False
10900267	CP020644.1	1347430	0.0107527	1	False
10900275	CP020627.1	13856454	0	1	False
10900346	CP020621.1	757104	0.0924731	0.540837	False
10900365	CP020627.1	3316673	0.156989	0.234324	False
10900406	CP020636.1	3323308	-0.117204	0.50241	False
10900417	CP020643.1	22469677	0.273118	0.0451359	False
10900420	CP020640.1	6164653	0	1	False
10900489	CP020636.1	33305775	0.1	0.221263	False
10900653	CP020623.1	20435390	-0.0623656	0.693026	False
10900659	CP020632.1	2324735	-0.0311828	1	False
10900726	CP020633.1	18119082	-0.0322581	1	False
10900807	CP020623.1	3163156	0	1	False
10900930	CP020639.1	2656557	0	1	False
10900941	CP020629.1	1301790	0	1	False
10900994	CP020637.1	15721726	0	1	False
10901023	CP020637.1	15006715	0	1	False
10901158	CP020632.1	28306309	0	1	False
10901173	CP020635.1	27047687	0.31828	0.0143375	False
10901199	CP020625.1	27834511	-0.201075	0.0508527	False
10901202	CP020633.1	232738	-0.149462	0.356863	False
10901256	CP020622.1	22208915	0	1	False
10901319	CP020622.1	23283183	0	1	False
10901331	CP020622.1	19502074	0.110753	0.527127	False
10901347	CP020642.1	337741	0	1	False
10901450	CP020625.1	8915273	0	1	False
10901513	CP020621.1	29153139	0.0795699	0.708735	False
10901595	CP020622.1	22402261	0.11828	0.491734	False
10901616	CP020626.1	22617250	0.106452	0.501112	False
10901650	CP020621.1	10577908	-0.027957	1	False
10901762	CP020634.1	24068482	0	1	False
10901855	CP020640.1	88713	-0.139785	0.339851	False
10901940	CP020627.1	4190530	-0.055914	0.839507	False
10901946	CP020622.1	14144976	0.0129032	1	False
10901977	CP020634.1	28801563	0.0924731	0.540837	False
10902018	CP020633.1	16079750	0	1	False
10902045	CP020630.1	15841668	0.00107527	1	False
10902113	CP020626.1	28129699	0.0698925	0.66333	False
10902133	CP020627.1	22033713	-0.22043	0.101267	False
10902146	CP020631.1	26569967	0.236559	0.0514172	False
10902183	CP020632.1	2840071	0	1	False
10902192	CP020629.1	26320699	0	1	False
10902208	CP020626.1	10357585	0	1	False
10902220	CP020622.1	21688223	-0.0182796	1	False
10902244	CP020636.1	17323965	-0.0645161	0.47938	False
10902298	CP020634.1	8174017	-0.0322581	1	False
10902322	CP020634.1	15749453	0.248387	0.0879205	False
10902344	CP020634.1	16095022	-0.367742	0.00138006	False
10902346	CP020630.1	28667109	0	1	False
10902383	CP020625.1	8435987	0.0709677	0.68308	False
10902441	CP020630.1	26104776	-0.192473	0.063851	False
10902513	CP020634.1	13466199	0	1	False
10902553	CP020633.1	870429	-0.0526882	0.870287	False
10902613	CP020634.1	22496912	0.0258064	1	False
10902693	CP020630.1	673560	0	1	False
10902719	CP020631.1	25319014	0.212903	0.158279	False
10902722	CP020636.1	32800064	0.1	0.221263	False
10902753	CP020639.1	1181748	0	1	False
10902762	CP020639.1	2399792	-0.0784946	0.71171	False
10902837	CP020635.1	20128467	0	1	False
10902934	CP020634.1	22997212	-0.0612903	0.737008	False
10902948	CP020639.1	24111904	0.0333334	0.973624	False
10902955	CP020627.1	25983217	0	1	False
10903075	CP020621.1	1271595	0	1	False
10903106	CP020628.1	4914777	0.0430107	0.927762	False
10903114	CP020629.1	19686566	0	1	False
10903144	CP020630.1	8647069	0.00107527	1	False
10903145	CP020633.1	28835604	-0.0569893	0.826241	False
10903147	CP020642.1	22306128	0	1	False
10903200	CP020634.1	30514419	0	1	False
10903208	CP020644.1	11831026	0.00215054	1	False
10903264	CP020628.1	13989144	0	1	False
10903394	CP020643.1	18696195	0.00107527	1	False
10903420	CP020625.1	12566489	0	1	False
10903466	CP020627.1	23998869	0	1	False
10903502	CP020642.1	24467827	0	1	False
10903573	CP020628.1	20862377	0.0139785	1	False
10903583	CP020638.1	9674702	0	1	False
10903646	CP020630.1	6003511	-0.0580645	0.810625	False
10903650	CP020633.1	32123568	0.0247312	1	False
10903673	CP020634.1	13410017	0.154839	0.285735	False
10903777	CP020644.1	1255805	0	1	False
10903786	CP020643.1	23525531	0.0376344	0.952798	False
10903798	CP020637.1	29444529	0.308602	0.0282359	False
10903865	CP020638.1	1309834	-0.0903226	0.598546	False
10903883	CP020642.1	25511533	0	1	False
10903918	CP020625.1	4625066	0.208602	0.151596	False
10903920	CP020636.1	32869666	0.202151	0.0731611	False
10903930	CP020631.1	623455	0	1	False
10904040	CP020623.1	17755911	-0.184946	0.214398	False
10904046	CP020639.1	21818750	0	1	False
10904193	CP020623.1	32210051	0	1	False
10904201	CP020625.1	31215606	0	1	False
10904223	CP020629.1	1993614	0.00215054	1	False
10904241	CP020631.1	10458944	0	1	False
10904255	CP020639.1	24684363	-0.0634409	0.622808	False
10904319	CP020634.1	29981861	0	1	False
10904375	CP020630.1	28236602	-0.188172	0.166369	False
10904484	CP020642.1	27770338	0	1	False
10904490	CP020644.1	22194324	0	1	False
10904527	CP020625.1	18424677	0	1	False
10904573	CP020639.1	10282152	0	1	False
10904679	CP020638.1	21969617	0	1	False
10904798	CP020644.1	1258996	-0.055914	0.839507	False
10904809	CP020640.1	9129681	0	1	False
10904866	CP020624.1	28985350	0	1	False
10905109	CP020637.1	6567092	-0.123656	0.396075	False
10905118	CP020622.1	9992860	0	1	False
10905136	CP020642.1	2014417	-0.0881721	0.637327	False
10905177	CP020622.1	416606	0	1	False
10905237	CP020642.1	4410466	0	1	False
10905297	CP020631.1	15597983	0	1	False
10905301	CP020639.1	13541698	0.191398	0.0932656	False
10905371	CP020625.1	7083413	0	1	False
10905538	CP020636.1	4971233	0.0666667	0.450577	False
10905612	CP020627.1	7845423	-0.184946	0.214398	False
10905680	CP020634.1	23237994	-0.0817205	0.699265	False
10905703	CP020624.1	24192058	0	1	False
10905787	CP020639.1	1902103	0	1	False
10905833	CP020642.1	6572353	0	1	False
10905870	CP020638.1	26046193	0.0784946	0.71171	False
10905951	CP020621.1	11308982	0	1	False
10905979	CP020625.1	5136654	0	1	False
10905993	CP020638.1	413287	0.0354839	0.963377	False
10905994	CP020628.1	5092542	-0.202151	0.0731611	False
10906133	CP020643.1	1796230	0	1	False
10906159	CP020626.1	30032902	0.180645	0.246481	False
10906191	CP020626.1	9652104	0	1	False
10906196	CP020642.1	147303	-0.12043	0.463325	False
10906344	CP020628.1	6863977	-0.0946237	0.444854	False
10906393	CP020636.1	17193930	-0.221505	0.0861662	False
10906417	CP020644.1	10829839	0.039785	0.942787	False
10906435	CP020644.1	5426003	0.180645	0.246481	False
10906497	CP020642.1	21527212	-0.123656	0.396075	False
10906524	CP020640.1	12364174	-0.126882	0.273728	False
10906576	CP020624.1	4706409	0	1	False
10906727	CP020635.1	29579488	0.101075	0.327311	False
10906728	CP020621.1	11376726	0.039785	0.942787	False
10906734	CP020627.1	1227464	0	1	False
10906742	CP020636.1	27421534	0.1	0.221263	False
10906784	CP020637.1	31953944	-0.0892473	0.619679	False
10906969	CP020633.1	1930789	0.147312	0.368866	False
10907031	CP020636.1	32660827	0	1	False
10907062	CP020625.1	3551372	0	1	False
10907066	CP020644.1	11544957	0	1	False
10907164	CP020621.1	1878695	0.107527	0.512148	False
10907194	CP020628.1	26199184	0.00107527	1	False
10907230	CP020641.1	10382206	-0.0451613	0.917204	False
10907249	CP020623.1	32502033	0.0344086	0.969025	False
10907303	CP020636.1	32428264	0.1	0.221263	False
10907332	CP020644.1	336173	0	1	False
10907437	CP020635.1	26424274	0	1	False
10907455	CP020642.1	21134992	0.0333334	0.973624	False
10907465	CP020625.1	21590602	-0.0290322	1	False
10907482	CP020630.1	32163787	0	1	False
10907572	CP020632.1	15307923	-0.0290322	1	False
10907599	CP020634.1	13308061	0	1	False
10907600	CP020637.1	10981590	0.167742	0.0969606	False
10907612	CP020632.1	24003383	0	1	False
10907701	CP020638.1	28935186	0.254839	0.0387609	False
10907865	CP020629.1	18770892	-0.368817	0.00227542	False
10907896	CP020633.1	15786222	0.246237	0.0946772	False
10907982	CP020626.1	31621927	0.0129032	1	False
10908097	CP020642.1	11133333	0	1	False
10908141	CP020627.1	10863832	-0.105376	0.485695	False
10908171	CP020626.1	29013793	0.205376	0.124372	False
10908199	CP020633.1	13510644	0	1	False
10908237	CP020642.1	19453616	0.0666667	0.450577	False
10908268	CP020623.1	28177929	0.00967741	1	False
10908273	CP020625.1	7158180	0	1	False
10908276	CP020634.1	15246400	-0.122581	0.4227	False
10908300	CP020623.1	37651997	0	1	False
10908315	CP020624.1	4118067	-0.0860215	0.664906	False
10908403	CP020628.1	7082488	0	1	False
10908450	CP020625.1	12627730	0	1	False
10908482	CP020637.1	16873360	0.191398	0.0932656	False
10908510	CP020638.1	4884344	0	1	False
10908523	CP020628.1	16272288	0	1	False
10908535	CP020634.1	6676324	-0.184946	0.214398	False
10908623	CP020628.1	5342097	0.243011	0.09428	False
10908734	CP020642.1	14026705	0	1	False
10908766	CP020642.1	22534260	0	1	False
10908785	CP020629.1	12838461	0	1	False
10908860	CP020630.1	29384417	0	1	False
10909034	CP020637.1	29450648	0	1	False
10909090	CP020623.1	21841227	0	1	False
10909096	CP020622.1	20458854	-0.117204	0.50241	False
10909162	CP020629.1	3796412	0.141935	0.361634	False
10909198	CP020624.1	28441662	0	1	False
10909230	CP020629.1	14718407	0.1	0.221263	False
10909351	CP020636.1	9947198	0	1	False
10909382	CP020636.1	33194698	0.201075	0.0508527	False
10909415	CP020642.1	19960314	0.0333334	0.973624	False
10909518	CP020640.1	26936265	0	1	False
10909539	CP020634.1	10121036	0	1	False
10909540	CP020635.1	29148907	0	1	False
10909554	CP020633.1	22841916	-0.129032	0.126884	False
10909559	CP020638.1	4976404	-0.412903	0.00251047	False
10909639	CP020632.1	2020027	0.0548387	0.85102	False
10909649	CP020623.1	10268292	-0.175269	0.239889	False
10909663	CP020623.1	38047605	-0.0892473	0.619679	False
10909717	CP020626.1	26243431	-0.0591398	0.791747	False
10909731	CP020635.1	18745889	0	1	False
10909761	CP020622.1	14897723	0.210753	0.158739	False
10909830	CP020627.1	21330831	0.0774193	0.713453	False
10909840	CP020621.1	2884995	0	1	False
10909854	CP020627.1	23203233	0	1	False
10909860	CP020624.1	31571899	0	1	False
10909936	CP020630.1	10399048	-0.0645161	0.47938	False
10909972	CP020636.1	9100549	-0.0623656	0.693026	False
10909977	CP020621.1	21467206	0.434409	0.000265886	False
10910146	CP020639.1	12518564	0.0462366	0.911632	False
10910157	CP020640.1	20888793	0	1	False
10910235	CP020627.1	27123749	-0.0505376	0.886108	False
10910248	CP020642.1	9511141	-0.0645161	0.47938	False
10910292	CP020628.1	4116246	-0.148387	0.363892	False
10910347	CP020632.1	21408395	0	1	False
10910453	CP020637.1	4578624	-0.0322581	1	False
10910474	CP020622.1	5027693	-0.136559	0.271313	False
10910520	CP020624.1	24941219	0	1	False
10910597	CP020623.1	10838302	0.00430107	1	False
10910623	CP020630.1	25549403	0	1	False
10910635	CP020636.1	32633365	0	1	False
10910688	CP020635.1	5501094	0	1	False
10910812	CP020636.1	21985581	0.0752688	0.712706	False
10910830	CP020632.1	22247012	0	1	False
10910894	CP020642.1	12030395	-0.0247312	1	False
10910925	CP020622.1	23433875	0.290323	0.00449349	False
10910996	CP020636.1	33155710	0	1	False
10911081	CP020630.1	18118572	-0.0290322	1	False
10911093	CP020626.1	19170709	0.101075	0.327311	False
10911117	CP020644.1	22975388	0	1	False
10911173	CP020640.1	25881437	0.102151	0.39187	False
10911281	CP020636.1	33699234	-0.0290322	1	False
10911328	CP020638.1	30063844	-0.312903	0.0278769	False
10911485	CP020622.1	19613872	-0.0935484	0.499803	False
10911575	CP020633.1	12129650	0	1	False
10911624	CP020627.1	15239507	-0.0290322	1	False
10911700	CP020640.1	24342523	0.102151	0.39187	False
10911742	CP020625.1	24011892	0.280645	0.0508666	False
10911858	CP020640.1	3301223	-0.201075	0.0508527	False
10911865	CP020621.1	31105327	-0.0591398	0.791747	False
10911871	CP020638.1	1478701	0.0677419	0.575671	False
10911914	CP020639.1	17745	0	1	False
10912004	CP020642.1	28531	0	1	False
10912104	CP020632.1	27806940	0	1	False
10912257	CP020637.1	31740384	0	1	False
10912264	CP020633.1	204879	-0.267742	0.013006	False
10912376	CP020635.1	2616024	0.072043	0.695957	False
10912384	CP020630.1	11718576	0	1	False
10912490	CP020628.1	8344619	-0.125806	0.32382	False
10912497	CP020633.1	5904692	0	1	False
10912565	CP020644.1	9523000	0.0666667	0.450577	False
10912636	CP020628.1	2808020	0	1	False
10912675	CP020636.1	7755861	0	1	False
